id,source,topic,domain_code,domain,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,explanation
0112,Cortex_Components,Cortex: Components,,D1 Planning & Installation — 1.1 Evaluate infrastructure,single,A common best practice when managing multiple Cortex instances is to maintain separate instances for which purpose?,One for SOC analysts and one for security engineers,One for each geographic region where data must stay local,"One per major data source type (endpoint, network, cloud)",Separate instances for test and production environments,,,D,"The source states: ""A common best practice is to create separate instances for test and production environments."" It also mentions instances for data privacy compliance in different regions, but the specifically called-out ""common best practice"" is the test/production split. Per-analyst or per-data-source instance segmentation is not mentioned."
0113,Cortex_Console_Management,Cortex: Console Management,,D1 Planning & Installation — 1.5 Roles/permissions/access,single,"Palo Alto Networks sites that require authentication use single sign-on based on which protocol, and for how long is a session valid before requiring re-authentication?",LDAP; 4 hours,SAML; 8 hours,OAuth 2.0; 12 hours,SAML; 24 hours,,,B,"The source states: ""Palo Alto Networks sites that require authentication use single sign-on (SSO) based on Security Assertion Markup Language (SAML)…A SAML session is valid for eight hours."" The 24-hour option is a common trap as it represents a full workday; LDAP and OAuth are real authentication technologies but are not named in this source."
0114,Cortex_Console_Management,Cortex: Console Management,,D1 Planning & Installation — 1.5 Roles/permissions/access,single,"In the Console Security Settings, the Dashboard Expiration can be configured to which two values?",1 Day and 7 Days,As user login expiration (8 hours) and 7 Days,4 Hours and 24 Hours,As user login expiration (8 hours) and 30 Days,,,B,"The source's Security Settings table lists exactly two Dashboard Expiration options: ""As user login expiration (8 hours) / 7 Days."" The 30-day option is a plausible distractor (30 days appears elsewhere in XSIAM as a retention/threshold value) but is not a Dashboard Expiration option per the source."
0115,Cortex_Console_Management,Cortex: Console Management,,D3 Content Optimization — 3.5 Dashboards & reports,single,"By default, which two output channels can reports be set to deliver to, though they are NOT configured out of the box?",Email and Microsoft Teams,Email and Slack,Slack and PagerDuty,Webhook and Email,,,B,"The source states: ""Reports can be set to output to email or Slack; however, these outputs are not configured by default."" Microsoft Teams, PagerDuty, and generic webhooks are not listed in the source as report output options."
0116,Cortex_Console_Management,Cortex: Console Management,,D1 Planning & Installation — 1.5 Roles/permissions/access,single,"Which Security Settings feature, when enabled, automatically deactivates user accounts that have not logged in for a defined period?",Allowed Sessions,Session Expiration,User Expiration,Auto Logout,,,C,"The source defines User Expiration as the feature that ""allows you to deactivate inactive users. After enabling the Deactivate Inactive User setting, you then set the deactivation period for automatic deactivation."" Auto Logout ends an active session after inactivity; Allowed Sessions restricts by IP/domain; Session Expiration sets the timeout duration — all are different settings in the same panel."
0117,Cortex_Console_Management,Cortex: Console Management,,D3 Content Optimization — 3.5 Dashboards & reports,single,"When creating a custom widget for a dashboard in the Cortex console Widget Library, which two widget types can be created?",XQL widget and bar chart widget,XQL widget and scalar widget,Table widget and graph widget,Scalar widget and template widget,,,B,"The source's Widget Library screenshot caption shows exactly two creation options: ""Create an XQL widget"" and ""Create scalar widget."" Bar chart, table, and graph are visualization *formats* applied to an XQL widget's results, not distinct widget creation types presented in the library's creation interface."
0118,Cortex_Console_Management,Cortex: Console Management,,D4 Maintenance & Troubleshooting — 4.3 Troubleshoot data management,single,"After applying a filter in a management console table, what happens to the filter state when you navigate away from that page?",The filter is cleared immediately upon navigation.,The filter is saved only if explicitly bookmarked.,The filter is retained across page navigation.,The filter is converted to a saved query automatically.,,,C,"The source states: ""Cortex retains filter states across page navigation."" This is a precise operational detail. The other options describe behaviors that are not supported by the source — filters are neither cleared, auto-bookmarked, nor converted to queries on navigation."
0119,Cortex_Console_Management,Cortex: Console Management,,D3 Content Optimization — 3.5 Dashboards & reports,single,"What action does clicking the Cortex logo at the top of the navigation pane perform, even when the pane is minimized?",It reopens the full navigation pane to its last expanded state.,It opens the Settings configuration menu.,It navigates to the default dashboard.,It opens the Quick Launcher search bar.,,,C,"The source states: ""You can jump to the default dashboard by clicking the Cortex logo on the top of the navigation pane, even when the pane is minimized."" The other options describe real console features but are not what the logo click does per the source."
0120,Cortex_Console_Management,Cortex: Console Management,,D4 Maintenance & Troubleshooting — 4.3 Troubleshoot data management,multi,"In the Cortex management console tabular views, which three filtering methods are explicitly described for narrowing entries in a table? (Choose three.)",By column using the filter icon next to a field heading,By building a filter query for one or more fields using the filter builder,By typing a natural language search into the global search bar,By pivoting from the contents of a cell (show or hide rows containing the cell value),By dragging and dropping columns to create an ad hoc grouping,,A|B|D,"The source lists exactly three methods: (1) by column using the filter icon, (2) by building a filter query via the filter builder, and (3) by pivoting from the contents of a cell. Natural language search and drag-and-drop column grouping are not described as filtering methods in the source."
0121,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.2 Deployment Requirements,single,A Cortex instance is being activated in a newly announced install region where a regional WildFire is not yet available. What is the implication?,Cortex will automatically redirect WildFire file uploads to the nearest available region until the local one is ready.,The Cortex instance cannot be activated until a regional WildFire instance exists.,WildFire is not required for Cortex and the absence of a regional instance has no impact.,"The Cortex instance will share the global WildFire instance, and file upload data will leave the region.",,,A,"The source states that when a new install region is announced, a regional WildFire could not yet be readily available. Because data must stay in-region by design, the practical implication is that the regional WildFire may not yet be ready — but Cortex activation still proceeds; the gap is the lack of a locally available WildFire, meaning WildFire file uploads remain in the region where a Cortex instance is activated once the regional instance exists. The distractor about global routing (D) contradicts the regional data-locality requirement."
0122,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.5 Roles/Permissions/Access,single,Which tool is primarily used to manage the Cloud Identity Engine (CIE) cloud service within the Palo Alto Networks ecosystem?,Cortex Gateway,Customer Support Portal (CSP),Cortex Management Console,Palo Alto Networks Hub,,,D,"The source explicitly states that ""the Palo Alto Networks Hub is the user interface primarily used to manage the CIE cloud service."" Cortex Gateway and CSP manage most other infrastructure services; the management console manages roles for the current instance only."
0123,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.4 Install Agents/Broker VM/Engine,single,A CIE deployment includes on-premises Windows agents connected to domain controllers. At which configurable intervals do these agents send a full snapshot of directory data to the CIE cloud instance?,"Every 1, 6, or 12 hours","Every 4, 12, or 24 hours","Every 6, 12, or 48 hours","Every 2, 8, or 24 hours",,,B,"The source states: ""The agents send domain data every 4, 12, or 24 hours to the CIE instance."" The frequency is configurable from the web interface of the CIE instance. The other intervals are plausible but not supported by the source text."
0124,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.4 Install Agents/Broker VM/Engine,single,An administrator wants to pair a CIE instance with the current Cortex instance. Which navigation path in the Cortex management console accomplishes this?,Settings > Configurations > Access Management > Roles,Settings > General > Agent Configurations,Settings > Integrations > Cloud Identity Engine,Inventory > Endpoints > Policy Management > Prevention Profiles,,,C,"The source states that pairing is done ""from the Cortex management console by navigating to Settings > Integrations > Cloud Identity Engine."" The other paths serve different purposes: Roles is for access management, Agent Configurations is for agent settings, and Prevention Profiles is for endpoint policy."
0125,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.5 Roles/Permissions/Access,single,Which statement accurately distinguishes the Account Admin role from the Instance Administrator role in Cortex?,"The Account Admin can assign roles, but the Instance Administrator cannot.",The Instance Administrator can activate new Cortex instances; the Account Admin cannot.,Both roles have identical capabilities; the distinction is only organizational.,The Account Admin can activate new Cortex instances; the Instance Administrator cannot.,,,D,"The source comparison table shows that ""Activate a new instance"" is Y for Account Admin and N for Instance Administrator. Both roles can assign roles and have full access to instance data. The Account Admin's unique capability is activating new instances on the CSP account."
0126,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.5 Roles/Permissions/Access,single,A security team wants to restrict a specific user so they can only manage a subset of endpoints and only see agent-related dashboard widgets for those endpoints. Which Cortex feature should be configured?,Custom Cortex Role with View-only permissions,Scope-Based Access Control (SBAC),Instance Administrator delegation via Cortex Gateway,CIE domain pairing with a restricted organizational unit,,,B,"SBAC restricts user access to functional areas of the management console per scope, including Endpoint Administration, Action Center, and Dashboards and Reports for allowed endpoints. Custom roles control what features a user can access globally, not which endpoints they can see."
0127,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.5 Roles/Permissions/Access,multi,"When creating a new custom Cortex role, which two permission levels are available for each permission category? (Choose two.)",Read,View,Execute,View/Edit,Manage,,A|B|D,"The source describes the Create Role page as offering ""View"" or ""View/Edit"" permissions to grant to the role. ""Read,"" ""Execute,"" and ""Manage"" are not permission level labels used in the Cortex role creation interface per the source."
0128,Cortex_Cortex_Infrastructure_and_Access_Management,Cortex: Cortex Infrastructure and Access Management,,D1.5 Roles/Permissions/Access,single,"An engineer notices that managing roles for multiple Cortex instances linked to the same CSP account is not possible from the Cortex management console. Which tool should they use instead, and why?","The Customer Support Portal (CSP), because it holds the master account and can push role changes across instances.","The Palo Alto Networks Hub, because it is the unified interface for all Cortex infrastructure services.","Cortex Gateway, because it allows role and permission management for multiple Cortex instances on the same CSP account.","The Cortex management console on any one instance, because role changes propagate automatically to linked instances.",,,C,"The source states: ""Cortex Gateway — Roles and permissions can be managed for multiple Cortex instances linked to the same CSP account,"" while the Cortex management console ""allows management of roles and permissions for the current Cortex instance only."" Propagation of changes from a single console is not described in the source."
0129,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,single,"Which XSIAM license tier is described as the foundational license that provides the core data ingestion, analytics, and automation engine?",XSIAM Enterprise,XSIAM Premium,XSIAM NG-SIEM,Cortex XDR Pro,,,C,"The source states: ""This is the foundational license for XSIAM, providing the core data ingestion, analytics, and automation engine"" under the XSIAM NG-SIEM heading. Enterprise and Premium are higher tiers that build on NG-SIEM."
0130,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,multi,A customer purchases XSIAM Enterprise. Which two capabilities are included in that tier that are NOT included in XSIAM NG-SIEM? (Choose two.),Playbook-Driven Automation,Next-Generation Antivirus,AI-driven Analytics / Machine Learning,"Endpoint Protection (enhanced telemetry from Windows, Mac, Linux, Kubernetes)",Multi-Source Data Ingestion,,B|D,"The source lists Next-Generation Antivirus and Endpoint Protection as ""Other Included Features"" unique to XSIAM Enterprise. Playbook-Driven Automation, AI-driven Analytics, and Multi-Source Data Ingestion are all part of the NG-SIEM core feature set."
0131,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,multi,Which features are included in XSIAM Premium but are only available as optional add-ons in XSIAM Enterprise? (Choose three.),Cloud Posture,Cloud Runtime,Attack Surface Management,Forensics,Application Security,,A|B|C,"The source lists Cloud Posture, Cloud Runtime, and Attack Surface Management (along with Extended Threat Hunting, Host Insights, and Threat Intelligence Management) as included in XSIAM Premium. For XSIAM Enterprise, those same features appear in the Optional Add-Ons list. Forensics and Application Security are optional add-ons at the Premium tier, not included features."
0132,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,single,"For all XSIAM license tiers, how is data ingestion treated differently compared to how it is handled in Cortex XDR?","Data ingestion is an optional add-on in XSIAM, just as it is in Cortex XDR.",XSIAM includes a fixed data ingestion quota that cannot be expanded.,"In XSIAM, data ingestion is a core and required component sized from the initial purchase, not an add-on.",Data ingestion in XSIAM is only available once the XDR Agent add-on is licensed.,,,C,"The source (Tab ³ — A Core and Required Component) states: ""For all XSIAM tiers, data ingestion is not an add-on but a fundamental component of the platform. The license is sized based on the required daily data ingestion volume from the start."" In contrast, data ingestion is listed as an ""Add-on²"" in the Cortex XDR column of the base product table."
0133,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,single,"An organization has XSIAM NG-SIEM and wants to add endpoint security capabilities including the XDR agent. According to the licensing table, which two features become included at no extra cost when adding XDR agents to NG-SIEM?",Forensics and Application Security,Cloud Posture and Cloud Runtime,Host Insights and Extended Threat Hunting,ITDR and Threat Intelligence Management,,,C,"The source security add-ons table shows that for XSIAM NG-SIEM, Host Insights and Extended Threat Hunting are both listed as ""Included when adding XDR agents."" The other options (Forensics, Application Security, Cloud features, ITDR, TIM) remain separate add-ons for NG-SIEM."
0134,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D2.4 Automation Workflow,single,"Which Cortex product is specifically designed as a Security Orchestration, Automation, and Response (SOAR) platform to help teams streamline processes and automate repetitive tasks?",Cortex XDR,Cortex Cloud,Cortex Xpanse,Cortex XSOAR,,,D,"The source product table describes Cortex XSOAR as ""a security automation and orchestration platform. XSOAR helps security teams streamline processes, automate repetitive tasks, and manage threat intelligence to accelerate incident response."" Cortex XDR is endpoint-focused; Cortex Cloud is CNAPP; Cortex Xpanse is attack surface management."
0135,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.2 Deployment Requirements,single,"A security analyst asks which XSIAM add-on is available across ALL three XSIAM tiers (NG-SIEM, Enterprise, and Premium) but is NOT included as standard in any of them. Which add-on fits this description?",Host Insights,Threat Intelligence Management,ITDR (Identity Threat Detection & Response),Extended Threat Hunting,,,C,"The source's security add-ons table shows ITDR is ""Available"" as an add-on for all three XSIAM tiers and is never listed as ""Included."" Host Insights and Extended Threat Hunting are included in Enterprise and Premium; Threat Intelligence Management is included in Premium."
0136,Cortex_Cortex_Licensing,Cortex: Cortex Licensing,,D1.1 Eval Infrastructure,single,Cortex Cloud is described in the source as a CNAPP. Which three modules make up Cortex Cloud?,"Cloud Posture Security, Cloud Runtime Security, and Attack Surface Management","Cloud Posture Security, Cloud Runtime Security, and Application Security (AppSec)","Cloud Runtime Security, Application Security, and Threat Intelligence Management","Cloud Detection & Response, Cloud Posture Security, and Application Security",,,B,"The source product table entry for Cortex Cloud states it ""is modular, with offerings for Cloud Posture Security, Cloud Runtime Security, and Application Security (AppSec)."" Attack Surface Management and Threat Intelligence Management are separate capabilities, not Cortex Cloud modules per the source description."
0137,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D3.3 Detection Rules,single,Cortex XDR's Behavioral Threat Protection engine is described as examining the behavior of multiple related processes simultaneously. What type of attacks does this approach uncover that single-file or single-process analysis would miss?,Known malware identified by static signature matching,Fileless attacks stored only in Windows registry keys,Complex multi-process attacks as they unfold,Encrypted network traffic from command-and-control servers,,,C,"The source states the Behavioral Threat Protection engine ""examines the behavior of multiple related processes simultaneously, uncovering complex attacks as they unfold."" This contrasts with single-file or single-process approaches that cannot correlate multi-step attack chains."
0138,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D3.4 Incident & Alert Layout,single,"How does Cortex XDR's incident grouping capability reduce analyst workload, according to the source?",It automatically remediates low-severity alerts without analyst review.,"It groups related alerts into a single incident, reducing items to review by up to 98%.","It deduplicates identical alerts across all data sources, reducing them by up to 50%.","It assigns each alert to a specialized analyst team, distributing the workload evenly.",,,B,"The source explicitly states that Cortex XDR groups related alerts into a single incident and ""can reduce the number of items to review by up to 98%."" The 95% figure in the source refers to investigation time reduction, not alert reduction — a useful distractor distinction."
0139,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D3.4 Incident & Alert Layout,single,Which threat intelligence sources are described in the source as being automatically integrated into the Cortex XDR incident view to enrich analyst data?,Unit 42 and MITRE ATT&CK,WildFire and VirusTotal,VirusTotal and Shodan,WildFire and Unit 42,,,B,"The source states: ""Threat intelligence from WildFire and VirusTotal is automatically integrated into the incident view."" Unit 42 is mentioned in the context of XSIAM's Threat Intelligence Platform, not specifically in the XDR incident view enrichment description."
0140,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D2.4 Automation Workflow,single,"Cortex XSOAR is described as ingesting aggregated issues and IoCs from detection sources. After ingestion, what does XSOAR execute to enrich and respond to cases?",Correlation rules that match behavioral indicators across endpoints,Machine-learning models that autonomously close low-priority cases,"Automatic, process-driven playbooks that coordinate across technologies and teams",Manual analyst workflows triggered by the War Room notification system,,,C,"The source states: ""After data ingestion, Cortex XSOAR can execute automatic, process-driven playbooks to enrich and respond to these cases. These playbooks coordinate across technologies, security teams, and external users for centralized data visibility and action."""
0141,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D2.4 Automation Workflow,single,"Which Cortex XSOAR capability is described in the source as providing ""War Room for every case"" and enabling teams to manage the full case lifecycle in a single location?",Playbook-Driven Automation,Threat Intelligence Operationalization,Integrated Case Management,Multi-tenant SOAR orchestration,,,C,"The source lists ""Speed Remediation with Integrated Case Management"" as the benefit that includes ""Built-in collaboration functions such as War Room for every case, ChatOps, and integrations with CSM tools [that] enables teams to manage the full case lifecycle in a single location."""
0142,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D1.1 Eval Infrastructure,single,The source describes Cortex XSIAM as unifying several product categories into a single platform. Which of the following is NOT listed in the source as a capability unified within Cortex XSIAM?,User and Entity Behavior Analytics (UEBA),"Security Orchestration, Automation, and Response (SOAR)",Privileged Access Management (PAM),Threat Intelligence Platform (TIP),,,C,"The source lists EDR, XDR, SOAR, ASM, UEBA, TIM, and SIEM as capabilities unified within Cortex XSIAM. Privileged Access Management (PAM) is not mentioned anywhere in the source as part of the XSIAM platform."
0143,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D3.3 Detection Rules / D3.4 Incident & Alert Layout,single,"According to the source, what is the AI-driven outcome mechanism by which XSIAM transforms low-confidence events into high-confidence cases?",SmartScoring and SmartGrouping applied to cloud attack detection,Issue grouping and AI-driven case scoring that connect low-confidence events,WildFire integration that automatically classifies all ingested events by severity,Automated root cause analysis that reconstructs the full attack chain before scoring,,,B,"The source states: ""By leveraging issue grouping and AI-driven case scoring, XSIAM seamlessly connects low-confidence events, transforming them into high-confidence cases."" SmartScoring and SmartGrouping are specifically described in the Cloud SOC section, not as the general XSIAM event-to-case mechanism."
0144,Cortex_Cortex_Platform_Portfolio_Overview,Cortex: Cortex Platform Portfolio Overview,,D1.1 Eval Infrastructure,single,"Which Cortex Cloud feature is described in the source as consolidating capabilities typically found in CSPM, CIEM, AI-SPM, and vulnerability management into a single offering?",Application Security (ASPM),Cloud Runtime Security,Cloud SOC,Cloud Posture Security,,,D,"The source's AI-Driven Security Feature (Cloud Posture) table includes ""Capability Consolidation"" as a feature, describing it as consolidating ""capabilities typically found in Cloud Security Posture Management (CSPM), Cloud Infrastructure Entitlement Management (CIEM), Artificial Intelligence Security Posture Management (AI-SPM), and vulnerability management (VM)."" This is specific to the Cloud Posture pillar."
0145,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.4 Troubleshoot Components,single,The Cortex XDR agent uses two communication protocols with the Cortex instance. Which protocol is used specifically when the agent sends a periodic heartbeat or a prevention alert after an attack?,"WebSocket, because it supports real-time bidirectional communication","HTTPS, because it is the only protocol the Cortex instance can initiate","HTTPS, because the agent initiates the connection for these cases","WebSocket, because heartbeats require a persistent session",,,C,"The source states: ""HTTPS is used when the agent initiates the communication for the cases including sending a periodic heartbeat or sending the issue prevention data to the Cortex instance after an attack."" The Cortex instance cannot initiate HTTPS communication to the agent because HTTPS is a stateless protocol that can only be initiated by the client."
0146,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D1.4 Install Agents/Broker VM/Engine,single,A Cortex XDR agent is deployed on a Kubernetes cluster. Which deployment method and minimum agent version are required?,Helm chart only; agent version 8.0 or later,DaemonSet using a supported YAML package or Helm installer; agent version 8.1 or later,DaemonSet using a supported YAML package only; agent version 7.8 or later,Sidecar container injection; agent version 8.2 or later,,,B,"The source states: ""The Cortex XDR agent for Linux can be deployed on Kubernetes clusters as a DaemonSet, using either the supported YAML package or the Helm installer for fresh installations and upgrades. This method is supported for agent versions 8.1 or later."""
0147,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.4 Troubleshoot Components,single,"An administrator needs to stop the Cortex XDR agent services on a Windows endpoint. Which tool and command accomplish this, and what credential is required?","Agent console → ""Disable"" button; no password required",Cytool → `cytool runtime stop`; requires the supervisor password,Cytool → `cytool startup disable`; requires the supervisor password,"Agent console → ""Initiate a manual heartbeat""; no password required",,,B,"The source shows the Cytool screenshot with `cytool runtime stop` prompting ""Enter supervisor password."" The source also notes that stopping the agent can only be done via Cytool. `cytool startup disable` disables the agent on next startup, not immediately. The agent console does not have a ""Disable"" button for stopping services."
0148,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D1.4 Install Agents/Broker VM/Engine,single,How does the Cortex XDR agent protect Linux containers without requiring separate licenses per container?,It injects a sidecar agent into each container image at build time.,It uses a host-based approach that protects containerized processes; only one license is required for the host OS.,It runs a lightweight kernel module inside each container and charges per container instance.,It relies on Kubernetes network policies and requires a Cloud per Container license.,,,B,"The source states: ""Cortex uses a host-based approach to protect Linux containers or containerized processes. This approach does not change licensing models and requires only one license for the host operating systems."""
0149,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.4 Troubleshoot Components,single,"What is the default log level for Cortex XDR agent components, and what does that level correspond to?",Level 5  Notice (high priority information),Level 7  Debug (debugging),Level 6  Info (low priority information),Level 4  Warning (operation complete with warnings),,,C,"The source log level table explicitly shows level 6 as ""Info — Low priority information"" and marks it as the Default log level. It is important to return the log level to default (6) after log collection is complete."
0150,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.2 Software Updates,single,"During an agent health check, an engineer reviews the content version across endpoints. Which of the following is NOT listed in the source as a key point of content version health checks?",Reducing false positives caused by inaccurate or outdated content,Promoting continuous learning so the security infrastructure adapts to new threats,Ensuring regulatory compliance by applying content updates on time,Verifying that all agents are running the most current and supported agent software version,,,D,"Verifying agent software version is a separate health check category (""Agent Version"") in the source. The Content Version health check covers content relevance, timely threat detection, reducing false positives, improved incident response, continuous learning, and optimal resource allocation — but not agent software version verification, which falls under the Agent Version check."
0151,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.4 Troubleshoot Components,single,The `cytool scan` and `cytool imageprep scan` commands differ in an important operational way. What is that difference?,`cytool scan` requires the supervisor password; `cytool imageprep scan` does not.,`cytool scan` is limited to 25% CPU as a low-priority thread; `cytool imageprep scan` can use all available resources.,`cytool imageprep scan` is limited to 25% CPU; `cytool scan` can use all available resources.,"Both commands consume up to 25% CPU, but `cytool imageprep scan` runs at a higher thread priority.",,,B,"The source states: ""the `cytool scan` command does not consume more than 25 percent CPU load, because it runs as a low-priority thread. However, the `cytool imageprep scan` command can use all available resources."" This distinction is important to know before running imageprep in production environments."
0152,Cortex_Cortex_Runtime_Security,Cortex: Cortex Runtime Security,,D4.2 Software Updates,single,An administrator wants to configure the auto-upgrade rollout to delay pushing a new agent version to endpoints. What is the configurable delay range available in the Cortex management console?,1 to 14 days from the agent release date,3 to 30 days from the agent release date,7 to 45 days from the agent release date,1 to 30 days from the agent release date,,,C,"The source states: ""Cortex XDR allows you to define a delayed auto-upgrade roll-out either immediately or with a delay period of 7–45 days from the agent release date."" Note that content configuration delay (1 to 30 days) is a separate setting — a common distractor from the same source section."
0153,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,A SOC engineer wants to automatically run an indicator enrichment playbook whenever any threat intelligence feed is updated. Which job type should they configure?,Time-triggered job scheduled for every 15 minutes,Script-triggered job linked to the feed API,Feed-triggered job,Case-triggered job based on feed-related alerts,,,C,"The source states: ""A job can be triggered by changes or updates in a feed, allowing you to automate the execution of a playbook... A job can be created to run an indicator enrichment playbook whenever there is any update in the threat intelligence feeds."" Time-triggered jobs operate on a schedule, not feed changes. Script-triggered and Case-triggered are not job types defined in the source."
0154,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,A job is currently executing a playbook and the analyst needs to temporarily stop it with the intention of resuming later. Which action should they select?,Abort,Disable,Stop,Pause,,,D,"The source defines Pause as ""Click the Pause option to halt a running job"" and Resume as the corresponding action to continue it. Abort is used to stop any running job permanently (without resuming). Disable prevents the next scheduled run but does not halt the current execution. ""Stop"" is not an action listed in the source."
0155,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,"Which Jobs page view provides a two-panel layout where the right panel shows information about incidents created by a specific job, including playbook, last run, next run, and incident status?",Chart Panel,Table View,Summary View,Detailed View,,,D,"The source describes the Detailed View as having ""two panels. The left panel lists all jobs, and the right panel displays information about incidents created by the job, playbook, last run, next run, and incident status."" Table View shows jobs in columns; Chart Panel shows graphical status counts. ""Summary View"" is mentioned in the context of management options but not described as the two-panel incident view."
0156,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,"According to the source, which job action will NOT affect a job that is currently running?",Abort,Pause,Delete,Disable,,,D,"The source states: ""Click the Disable option to stop the job from running next time. It will not impact the job already running."" Abort and Pause both act on a currently running job. Delete removes the job from the table entirely."
0157,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,The Jobs page Chart Panel displays status information about all jobs. Which of the following status counts is displayed in the Chart Panel?,"Running, Waiting, Error, Disabled, Time Triggered, and Event Triggered","Running, Queued, Failed, Paused, Scheduled, and Completed","Active, Idle, Error, Suspended, Time Triggered, and Feed Triggered","Running, Waiting, Error, Disabled, Scheduled, and Feed Triggered",,,A,"The source screenshot transcription explicitly lists the Chart Panel status counts as ""RUNNING: 0, WAITING: 0, ERROR: 1, DISABLED: 0, TIME TRIGGERED: 1, EVENT TRIGGERED: 0."" The label ""Event Triggered"" is used in the Chart Panel, even though the job type is called ""feed-triggered"" in the configuration context."
0158,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,An analyst wants to customize which columns are displayed in the Jobs Table View. How do they accomplish this?,"Right-click any column header and select ""Add/Remove Columns""",Navigate to Settings > Configurations > Table Preferences,Use the gear icon at the top right of the Table View to check or uncheck columns,Use the filter icon in the Chart Panel to select visible fields,,,C,"The source states: ""To customize the column information, use the gear icon at the top right of the Table view, then check or uncheck columns to display or remove them as required."" The other options describe controls not mentioned in the source for this purpose."
0159,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,single,A manager wants to restart a job that had previously been aborted or completed. Which action from the Jobs action bar allows this?,Enable,Resume,Run Now,Restart,,,C,"The source defines ""Run Now"" as: ""Click the Run now option to start running an aborted or completed job."" Resume is specifically for paused jobs. Enable is for continuing a disabled job's next scheduled run. ""Restart"" is not a listed action in the source."
0160,Cortex_Creating_and_Managing_Jobs,Cortex: Creating and Managing Jobs,,D2.4 Automation Workflow,multi,Which two of the following are listed in the source as use cases for jobs in Cortex? (Choose two.),Automatically quarantining endpoints that fail a compliance scan,Generating summary reports of incident statuses sent regularly to team members,Creating a list of high-risk or benign indicators at the end of each day,Automatically escalating critical cases to senior analysts after 30 minutes,Deduplicating IOCs ingested from multiple threat intelligence feeds,,B|C,"The source explicitly lists ""Generating Summary Reports — Create a job to produce a summary report of incident statuses and send it regularly to the appropriate team member"" and ""Creating Indicators List — Use time-triggered jobs to create a list of high-risk or benign indicators at the end of each day"" as jobs use cases. The other options are not listed as use cases in the source."
